#TYPE Selected.Microsoft.Windows.Appx.PackageManager.Commands.AppxPackage
"Name","PackageFullName"
"windows.immersivecontrolpanel","windows.immersivecontrolpanel_10.0.2.1000_neutral_neutral_cw5n1h2txyewy"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.27323.0_x64__8wekyb3d8bbwe"
"Windows.PrintDialog","Windows.PrintDialog_6.2.1.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.29231.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.3","Microsoft.UI.Xaml.2.3_2.32002.13001.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.3","Microsoft.UI.Xaml.2.3_2.32002.13001.0_x64__8wekyb3d8bbwe"
"Microsoft.NET.Native.Runtime.2.2","Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x86__8wekyb3d8bbwe"
"Microsoft.NET.Native.Runtime.2.2","Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe"
"Microsoft.NET.Native.Framework.2.2","Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x86__8wekyb3d8bbwe"
"Microsoft.NET.Native.Framework.2.2","Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.4","Microsoft.UI.Xaml.2.4_2.42007.9001.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.4","Microsoft.UI.Xaml.2.4_2.42007.9001.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.1","Microsoft.UI.Xaml.2.1_2.11906.6001.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.1","Microsoft.UI.Xaml.2.1_2.11906.6001.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.0","Microsoft.UI.Xaml.2.0_2.1810.18004.0_x86__8wekyb3d8bbwe"
"Microsoft.NET.Native.Framework.1.7","Microsoft.NET.Native.Framework.1.7_1.7.27413.0_x86__8wekyb3d8bbwe"
"Microsoft.NET.Native.Framework.1.7","Microsoft.NET.Native.Framework.1.7_1.7.27413.0_x64__8wekyb3d8bbwe"
"Microsoft.NET.Native.Runtime.1.7","Microsoft.NET.Native.Runtime.1.7_1.7.27422.0_x86__8wekyb3d8bbwe"
"Microsoft.NET.Native.Runtime.1.7","Microsoft.NET.Native.Runtime.1.7_1.7.27422.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.5","Microsoft.UI.Xaml.2.5_2.52012.2002.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.5","Microsoft.UI.Xaml.2.5_2.52012.2002.0_x64__8wekyb3d8bbwe"
"Microsoft.BioEnrollment","Microsoft.BioEnrollment_10.0.19041.1023_neutral__cw5n1h2txyewy"
"Microsoft.Windows.OOBENetworkConnectionFlow","Microsoft.Windows.OOBENetworkConnectionFlow_10.0.19041.1023_neutral__cw5n1h2txyewy"
"Microsoft.AAD.BrokerPlugin","Microsoft.AAD.BrokerPlugin_1000.19041.1023.0_neutral_neutral_cw5n1h2txyewy"
"MicrosoftWindows.UndockedDevKit","MicrosoftWindows.UndockedDevKit_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.OOBENetworkCaptivePortal","Microsoft.Windows.OOBENetworkCaptivePortal_10.0.19041.1023_neutral__cw5n1h2txyewy"
"Microsoft.Windows.StartMenuExperienceHost","Microsoft.Windows.StartMenuExperienceHost_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.Search","Microsoft.Windows.Search_1.14.2.19041_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.ContentDeliveryManager","Microsoft.Windows.ContentDeliveryManager_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"Windows.CBSPreview","Windows.CBSPreview_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"NcsiUwpApp","NcsiUwpApp_1000.19041.1023.0_neutral_neutral_8wekyb3d8bbwe"
"Microsoft.XboxGameCallableUI","Microsoft.XboxGameCallableUI_1000.19041.1023.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.XGpuEjectDialog","Microsoft.Windows.XGpuEjectDialog_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.SecureAssessmentBrowser","Microsoft.Windows.SecureAssessmentBrowser_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.SecHealthUI","Microsoft.Windows.SecHealthUI_10.0.19041.1023_neutral__cw5n1h2txyewy"
"Microsoft.Windows.PinningConfirmationDialog","Microsoft.Windows.PinningConfirmationDialog_1000.19041.1023.0_neutral__cw5n1h2txyewy"
"Microsoft.Windows.PeopleExperienceHost","Microsoft.Windows.PeopleExperienceHost_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.ParentalControls","Microsoft.Windows.ParentalControls_1000.19041.1023.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.NarratorQuickStart","Microsoft.Windows.NarratorQuickStart_10.0.19041.1023_neutral_neutral_8wekyb3d8bbwe"
"Microsoft.Windows.CapturePicker","Microsoft.Windows.CapturePicker_10.0.19041.1023_neutral__cw5n1h2txyewy"
"Microsoft.Windows.CallingShellApp","Microsoft.Windows.CallingShellApp_1000.19041.1023.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.AssignedAccessLockApp","Microsoft.Windows.AssignedAccessLockApp_1000.19041.1023.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Windows.Apprep.ChxApp","Microsoft.Windows.Apprep.ChxApp_1000.19041.1023.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.Win32WebViewHost","Microsoft.Win32WebViewHost_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"Microsoft.MicrosoftEdgeDevToolsClient","Microsoft.MicrosoftEdgeDevToolsClient_1000.19041.1023.0_neutral_neutral_8wekyb3d8bbwe"
"Microsoft.LockApp","Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy"
"Microsoft.ECApp","Microsoft.ECApp_10.0.19041.1023_neutral__8wekyb3d8bbwe"
"Microsoft.CredDialogHost","Microsoft.CredDialogHost_10.0.19041.1023_neutral__cw5n1h2txyewy"
"Microsoft.AsyncTextService","Microsoft.AsyncTextService_10.0.19041.1023_neutral__8wekyb3d8bbwe"
"Microsoft.AccountsControl","Microsoft.AccountsControl_10.0.19041.1023_neutral__cw5n1h2txyewy"
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"E2A4F912-2574-4A75-9BB0-0D023378592B","E2A4F912-2574-4A75-9BB0-0D023378592B_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"c5e2524a-ea46-4f67-841f-6a9465d9d515","c5e2524a-ea46-4f67-841f-6a9465d9d515_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"1527c705-839a-4832-9118-54d4Bd6a0c89","1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.30035.0_x64__8wekyb3d8bbwe"
"Microsoft.MicrosoftEdge.Stable","Microsoft.MicrosoftEdge.Stable_98.0.1108.43_neutral__8wekyb3d8bbwe"
"Microsoft.WebpImageExtension","Microsoft.WebpImageExtension_1.0.42351.0_x64__8wekyb3d8bbwe"
"Microsoft.Windows.CloudExperienceHost","Microsoft.Windows.CloudExperienceHost_10.0.19041.1266_neutral_neutral_cw5n1h2txyewy"
"Microsoft.MicrosoftEdge","Microsoft.MicrosoftEdge_44.19041.1266.0_neutral__8wekyb3d8bbwe"
"Microsoft.StorePurchaseApp","Microsoft.StorePurchaseApp_12109.1001.10.0_x64__8wekyb3d8bbwe"
"Microsoft.WebMediaExtensions","Microsoft.WebMediaExtensions_1.0.42192.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsCamera","Microsoft.WindowsCamera_2021.105.10.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsCalculator","Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe"
"Microsoft.Windows.Photos","Microsoft.Windows.Photos_2021.21090.10008.0_x64__8wekyb3d8bbwe"
"Microsoft.HEIFImageExtension","Microsoft.HEIFImageExtension_1.0.43012.0_x64__8wekyb3d8bbwe"
"Microsoft.Windows.ShellExperienceHost","Microsoft.Windows.ShellExperienceHost_10.0.19041.1320_neutral_neutral_cw5n1h2txyewy"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.30704.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.30704.0_x86__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00.UWPDesktop","Microsoft.VCLibs.140.00.UWPDesktop_14.0.30704.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00.UWPDesktop","Microsoft.VCLibs.140.00.UWPDesktop_14.0.30704.0_x86__8wekyb3d8bbwe"
"MicrosoftWindows.Client.CBS","MicrosoftWindows.Client.CBS_120.2212.3920.0_x64__cw5n1h2txyewy"
"Microsoft.UI.Xaml.2.6","Microsoft.UI.Xaml.2.6_2.62112.3002.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.6","Microsoft.UI.Xaml.2.6_2.62112.3002.0_x86__8wekyb3d8bbwe"
"Microsoft.DesktopAppInstaller","Microsoft.DesktopAppInstaller_1.17.10271.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.7","Microsoft.UI.Xaml.2.7_7.2203.17001.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.7","Microsoft.UI.Xaml.2.7_7.2203.17001.0_x86__8wekyb3d8bbwe"
"Microsoft.VP9VideoExtensions","Microsoft.VP9VideoExtensions_1.0.50481.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.0","Microsoft.UI.Xaml.2.0_2.1810.18004.0_x64__8wekyb3d8bbwe"
"Microsoft.549981C3F5F10","Microsoft.549981C3F5F10_4.2203.4603.0_x64__8wekyb3d8bbwe"
"Microsoft.Services.Store.Engagement","Microsoft.Services.Store.Engagement_10.0.19011.0_x64__8wekyb3d8bbwe"
"Microsoft.Services.Store.Engagement","Microsoft.Services.Store.Engagement_10.0.19011.0_x86__8wekyb3d8bbwe"
"Microsoft.WindowsStore","Microsoft.WindowsStore_22203.1401.26.0_x64__8wekyb3d8bbwe"
